工单编号,工单标题,工单内容,推送时间,承办单位,问题分类,问题点位
网络-260324-039529,北京极睿科技有限责任公司退款问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：课程没上但商家不给退款
留言原文：极睿课程退款过程详细描述
投诉对象为：北京***公司

2025年9.12日在观看极睿科技的抖音直播后报名参加了第3期课程。在付款前没有签订任何合同和协议，销售人员也没有介绍课程发课表。而在我加入群后，销售人员依然没发课程表，没有告知任何课程信息，管理员私自将我更改为第2学员，导致我在正式开课时发现课程不对，并且课程质量非常差劲，语音也不清，远远不及宣传中的质量。我只听了不到3分钟。
然后我当即提出退出，并在之后申请了全额退款。我在整个对方的服务过程没有使用任何软件，课程是因为对方乌龙在先导致退款的，实际听直播课时间不足3分钟。按照一般行业的规则，我也是在我开课的第一天直播就申请的退款，不到3分钟，也未给对方造成任何损失。并且在后续沟通中，我从未有过任何不当的言论，对方主播的直播间，我也是点赞转发支持，没有发过任何一句负面的言论。
目前对方拒绝退款，空口白牙说我使用软件，理由是内部商讨不给我退款，我未和对方签订任何协议，内部协议是无效的。还有以发给我录播课为由，不退款。我当时已经申请退款，群聊已经屏蔽，对方发的消息我是查收不到的。况且我已经申请退款并且已经在沟通，对方仍然发，这属实是其内部管理混乱的表现，以这个理由那就是强卖。而且以内部规定来拒绝退款，那这样的话我也说我也有内部规定，你们未经我同意私自给我改课程，而且迟迟不退款，那要赔我50万。您说，这不是开玩笑吗？
我对对方的服务，私自改我的课程期数，导致我上错课，以及对课程质量非常不满意，要求全额退款。
我们并未签任何协议，对方在我付款前除了大肆宣传课程的好之外没有任何对课程质量的说明，也没有对退款条件的说明。我的诉求是全额退款，并赔偿我的损失。
特此投诉，非常感谢您的审阅，我诚心希望事情能得到解决。谢谢！




市民填写的详细地址为：区、街道：朝阳区酒仙桥街道详细地址：酒仙桥路66号保利广场东座208",2026-03-24 14:11:46,朝阳区分中心,社会培训机构>经营期间退费纠纷（线上）>职业资格和技能类,酒仙桥路66号保利广场东座
网络-260408-024717,建议改造人行道问题#微信服务号#【2】,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。
============================= 
市民留言标题：建议调整公交车停靠方式
市民留言原文：新宫地铁站A口外，公交车总站，换乘人员过多，公交车长期占道停车，造成严重拥堵。建议改造人行道，实现公交车港湾式停靠，避免拥堵。
市民填写的详细地址为：区、街道：丰台区南苑街道详细地址：新宫地铁站A口
市民反映问题内容：市民反映，建议调整公交车停靠方式，故通过微信服务号反映建议调整公交车停靠方式问题。
发布时间：2026-04-05 19:03:26
备注：该工单为微信对接系统弹出工单网络-260406-001520号后而新建的工单。
--------------------------------------------------
工单流转【丰台区】：市民反映建议改造人行道问题，经丰台区城管委核查市民反映的是槐房西路公交总站人行步道问题，市民希望将公交站人行步道改成公交港湾已缓解道路拥堵，槐房西路道路权属为市交通委，市民反映的问题请转北京市交通委协调处理。

",2026-04-08 11:28:26,市交通委,公共服务>公交>线路站点,新宫地铁站A口
热线-260109-045243,协调中公教育退费问题,市民反映，自己孩子在海淀区学清路***中公教育报名了线下课程，花费了29800元，对方给退回了1000元，中公没有联系自己，合同中也标明一切纠纷归北京公司管理，预留手机号：18661024679，要求退费，希望帮助核实处理，来电反映协调中公教育退费问题。,2026-01-09 15:29:40,海淀区分中心,社会培训机构>经营期间退费纠纷（线下）>职业资格和技能类,海淀区学清路
热线-260516-019324,要求挪走石头问题,市民反映，房山区长景新园小区南门东边有条小路，小路的东头堵了2个大石头，影响车辆通行，自己联系物业也不知道原因，要求把石头挪走，来电反映要求挪走石头问题。,2026-05-16 11:47:59,房山区分中心,住房>小区配套>道路,长景新园小区南门东边
热线-260121-061083,水管滴漏物业不维修问题,市民投诉，自己是北京市朝阳区豆各庄乡绿丰家园业主，自己水管子漏水了，联系物业，物业拿胶条粘上了 ，还一直在漏，联系物业，物业表示没工夫修，来电投诉水管滴漏物业不维修问题。,2026-01-21 17:33:08,朝阳区分中心,住房>房屋修缮>下水管道堵塞,绿丰家园-绿丰家园
网络-260221-009900,南口保温瓶工业公司职工医院电话打不通问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：严肃处理南口***公司职工医院电话打不通
留言原文：严肃处理南口***工业公司职工医院电话打不通
市民填写的详细地址为：区、街道：昌平区南口镇详细地址：北京***",2026-02-21 11:22:08,昌平区分中心,卫生健康>医院管理>医务人员管理,北京
热线-260408-071146,移动公司提供证据或腿费要么拿出政策条文的问题,市民反映，移动公司在19内停机自己6个号，手机号里共有5880元，要求移动公司提供证据或腿费要么拿出条文，如果不解决就到人民法院起诉移动公司，来电反映移动公司提供证据或腿费要么拿出政策条文的问题。,2026-04-08 21:28:02,北京移动,公共服务>网络与通讯>资费,东城区-东直门南大街***
网络-260304-024392,工地内物料未按六个百分百要求存放问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。
=============================
留言标题：物料
留言原文：工地内物料未按六个百分百要求存放。
市民填写的详细地址为：区、街道：大兴区瀛海镇详细地址：瀛达路与瀛瑞街交叉口东南角。",2026-03-04 11:48:36,大兴区瀛海镇,城乡建设>施工管理>工地管理,瀛达路与瀛瑞街交叉口东南角。
网络-260501-029060,北京新航城开发建设有限公司使用作废植物检疫证书#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题：北京***公司使用作废植物检疫证书。#微信服务号#
留言原文：北京***公司：
 
由贵单位作为建设单位，北京市***公司作为施工单位、北京***公司作为监理单位实施的北京新机场临空经济区市政交通配套工程大礼路、大广高速到京台高速道路工程绿化工程二标段（K3+720~K7+440段），工程开工、施工及竣工养护期限为2021年至2023年，该项目已于2025年三季度移交至北京市大兴区礼贤镇人民政府林业站
 经现场全面核查、溯源核实，该工程存在严重质量缺陷及明确违法违规事实，具体情况如下：
 
1. 植物检疫涉嫌造假，存在重大林业有害生物入侵：该工程苗木栽植相关检疫手续存在严重违规，对应林草种子生产经营许可证于2024年才办理，却在2025年违规批量开具多规格苗木植物检疫证书。编号为：林草检字：***市民填写的详细地址为：区、街道：大兴区礼贤镇详细地址：大礼路",2026-05-01 14:51:29,大兴区分中心,城乡建设>工程管理>项目审批,大礼路
热线-260401-002023,火箭出行判责不合理问题,"1.网约车平台：高德 
2.平台内企业：火箭出行 
3.注册账号：***
4.约车时间：3月23日早上8点30分 
5.网约车车牌号：***
6.具体问题：到乘客的小区门口不让停车，乘客给自己发信息说晚点过来，自己问大概多久乘客没有回，给乘客打电话还让继续等，自己说快点乘客给挂了，后续自己把订单取消了，平台判自己有责扣了服务分，市民不认可，15号自己抢了预约单，当时自己抢错了，联系平台让处理，后续平台取消了判自己有责，市民不认可，希望处理。市民表示就是怕对自己判责，还刻意联系平台让平台进行处理，但是最后还是判责了，市民表示3月31日的订单，自己的车在充电，设备拿不下来了，平台给取消订单了，但是判自己有责，市民不认可，希望核实处理，来电反映火箭出行判责不合理问题。",2026-04-01 05:29:04,昌平区分中心,交通管理>互联网约车>运营管理,不详
热线-260612-015504,改装摩托车尾气噪音扰民的问题/保密,"市民反映，朝阳区管庄地区塔营北街甲***，小区里有很多改装摩托车，早晚总是有尾气噪音，非常扰民，车牌号：***，***，***，***，***等，来电反映改装摩托车尾气噪音扰民的问题。
注：市民要求保密个人信息（已解释）",2026-06-12 10:09:48,市交管局,交通管理>车辆管理>私改车辆,塔营北街甲2号院***
热线-260427-007475,协商退还押金的问题,"市民反映，自己是密云区果园老西里5号楼***上一任的店主，跟快递公司合作现在不干了，但是跟中通快递合作的押金没有退还，现在母亲生病着急用钱，希望相关部门进行核实，要求尽快退还押金，来电反映协商退还押金的问题。
注：市民同意绿通。
注：工单已拆分，详见热线-260427-008582、热线-260427-007475


",2026-04-27 08:57:50,中通快递,市场管理>合同违法行为>不履行合同义务,北京市密云区西大桥路***
热线-260320-058949,投诉海淀区政府与海淀区教委问题,"市民投诉，自己是海淀区上地街道和樾玉鸣小区的居民，现在想要投诉海淀区政府，原因是在和樾地块投放市场之前，政府已变更街道名称配件优质学校的操作诱导公众投身抢购热潮，创造了本年度北京市销售冠军的奇迹，但购房者在初中入学时却被拒绝在上地片区之外，没能在自家门口享受优质的教育资源，鉴于以上情况，并且旁边海开0702地块即将入室销售，请区政府协调相关部门维护公众信赖利益，尽快将和樾玉鸣，和樾望云小区落实到上地片区对口的四所中学，投诉海淀区教委的理由：海淀区教委明知道该地块接到管辖已经变更并以由过去的无人的荒地变更为1000多户家庭的居住用地后教委严重懒政不作为，无视初中入学系统不在匹配该地块入学期待的现状，舍近求远的将上地街道的居民切割到其他片区入学，自己要求尽快将初中入学系统变更回上地片区对应的四所中学，教委的中招办回复说和他们无关，中招办说决定权不在他们那，需要教委回复（已解释)，来电投诉海淀区政府与海淀区教委问题
注：市民要求投诉两个不同的部门（已解释）",2026-03-20 17:40:32,海淀区分中心,教育>入学升学>学区划片,不详
热线-260114-061617,协调中公教育退款问题,市民反映，公司名称：北京***公司，地址：海淀区学清路***，自己在中公教育报名线下课程，因考试不通过申请退款，迟迟未退，目前还剩20000多元钱未退，报名预留手机号：***，中公教育一直没有回复自己，现在公司也没有纳入异常名单，还是在正常经营，市民表示自己反映后接到了回复，对于回复不认可，自己的问题没有得到解决，要求重新反映，要求给予明确的答复是否可以受理，要求尽快解决问题，希望给自己一个明确的态度（已解释），来电反映协调中公教育退款问题。,2026-01-14 18:10:04,海淀区分中心,社会培训机构>经营期间退费纠纷（线下）>职业资格和技能类,海淀区-***
热线-260324-033860,公司无法给自己交1月份社保问题,市民反映，姓名：陈***，身份证：***，公司：廊坊市***公司，工作地：房山区良乡送便电公司，自己和廊坊市***公司签的合同，公司在1月份开始给自己上的北京社保，但是在2026年1月份自己查看社保，公司只给自己交了1月份工伤保险，没有交养老和事业保险，2月份都交上了，公司告知自己1月份的接不上，希望相关部门核实处理。来电反映公司无法给自己交1月份社保问题。,2026-03-24 13:16:45,市税务局,劳动和社会保障>社会保险>社保基金管理,646路;896路;951路;971路;993路-送变电公司
热线-260426-028943,协调爱奇艺延长会员的问题,"市民反映，之前在爱奇艺买了168元的会员，后续两三年没有联系自己，告知就续费了，现在才发现，账号：***，2024年5月26日花费238元订单号：***，2025年6月2日花费238元订单号：***，可以不退费，要求延长180天（6个月）的会员权益，来电反映协调爱奇艺延长会员的问题。
注：市民同意绿通。
",2026-04-26 14:50:23,爱奇艺,科体文宣>文化>网络视听（网络直播、视频网站、网络表演等）,海淀区-北4环西路65号
热线-260331-025551,广安门内派出所不立案问题,"市民反映，投诉西城区广安门内派出所，市民被他人辱骂遭到推搡，对身体精神造成了伤害，当时向该派出所报警，派出所称没有打伤市民就不予处理，连回执都不给开，但是派出所不给立案，要求对方给自己道歉、支付医药费并赔偿精神损失费，来电反映广安门内派出所不立案问题。

",2026-03-31 11:37:16,市公安局,社会秩序>警务督察>不予立案,广安门内派出所
热线-260518-049205,公司拖欠工资的问题,"1. 是否为在校学生或退休返聘人员：否
2.是否已进入仲裁或诉讼程序：否
3.是否签订劳动合同：是
4.具体工作地址（用工地）：大兴区星光城二期
5.工作单位名称及负责人：中建三局，项目经理胡***电话***
6.拖欠工资时间及金额：拖欠了三万五千元，干了四个月左右
7.被拖欠工资原因：市民不清楚
8.具体诉求：市民反映，自己从事外墙保温，拖欠了三万五千元，干了四个月左右，自己姓名：李***，来电反映公司拖欠工资的问题。",2026-05-18 15:21:31,大兴区分中心,劳动和社会保障>拖欠工资>工程建设领域,星光城二期
热线-260526-069432,美团迟迟未退款及餐未送达问题,1.购买渠道：美团 2.是否向该企业投诉过：是 3.是否通过行政部门调解：否 4.是否要求赔偿：否 5.消费内容：外卖 6.订单号：***.具体诉求内容：市民反映，2024年6月份在美团上订的外卖，餐品没有给自己送达也不给自己退款，希望核实处理。此事已经反映很长时间了，美团平台退款根本无法原路返回，对处理结果不满意，希望再次处理，要求明确解决时间和退款时间，要求回复反馈的问题是否属实，要求再次反映，海淀区市场监督所不处理问题，要求升级处理，来电反映美团迟迟未退款及餐未送达问题。 8.是否有购物凭证及照片等证据：是,2026-05-26 19:58:19,海淀区分中心,市场管理>网络交易>网上商城,北京市海淀区海淀大街***
热线-260112-017377,协调中公教育培训机构尽快退费问题,"市民反映，自己【姓名：谢***，性别：女】在北京***公司【地址：海淀区学清路***】报名线下学习【地址：广东省汕尾市海丰县】事业单位教师编课，预留手机号：***，双方已签合同，培训机构承诺考试不通过可退1.4万元，自己考试未通过，企业强制分期退费，目前还有9600元未退，广东省汕尾市海丰县授课点已撤点，向本中心反映后，培训机构人员未回复过，此次来电补充：之前反映问题收到回复说一周内解决，但是到现在问题未解决，市民来电补充信息表示和自己同期报名的学员都已经完成了退费，目前只有自己的费用还没有退还完成，市民对此很不满，市民来电称问题没有解决，要求再次反映。市民表示之前没有人联系自己，现在需要电话回复。来电反映协调中公教育培训机构尽快退费问题。

",2026-01-12 10:29:54,海淀区分中心,社会培训机构>经营期间退费纠纷（线下）>职业资格和技能类,海淀区-***
热线-260312-023469,京东赔偿问题,"1.购买渠道：京东
2.是否向该企业投诉过：是 
3.是否通过行政部门调解： 否（可登记）
4.是否要求赔偿：是（张***） 
5.消费内容：购买不锈钢保鲜盒
6.订单号：***
7.具体诉求内容：市民反映，2025年12月1日，商品详情页面所展示的有标注SUS304，别的地方标注了201，属于诱导消费，但是自己收到的货拿磁铁吸上了，不是不锈钢的，但是自己装了咸菜还漏，自己也不知道还把食品吃了，不是食品级的材质，要求赔偿，自己和京东反映，自己接受了平台的补偿，但是现在不认可，因为京东没有重视对自己反映的其他问题，现在要求按照消费者权益保护法进行赔偿，来电反映京东赔偿问题。
8.是否有购物凭证及照片等证据：是
注：此单为拆分工单，录音详见热线-260312-022547",2026-03-12 11:30:42,经济技术开发区分中心,市场管理>网络交易>网上商城,通州区-***
网络-260203-003383,北京大学首钢医院歧视残疾人等问题#微信服务号#,"工单来源：微信服务号，此工单内容为网民留言时填写的标题及原文。 
============================= 
留言标题： 要求相关部门进行处理
留言原文：北京大学首钢医院歧视残疾人、虐待残疾人，遭受不公平待遇，要求相关部门进行处理
市民填写的详细地址为：区、街道：石景山区八角街道详细地址：***",2026-02-03 07:56:31,市卫生健康委员会,卫生健康>医院管理>医务人员管理,北京大学首钢医院
热线-260320-008043,超市摊位虚假宣传退费和赔偿问题,市民反映，自己3也19日在海淀区京粮商城物美超市壹号土猪摊位买的大骨棒和里脊肉，当时给自己的时候是包好的，大骨棒40多元一斤，回家发现大骨棒不是大骨棒，也不知道是哪个位置，市民不认可，这是虚假宣传，市民要求退费并赔偿，来电反映超市摊位虚假宣传退费和赔偿问题。,2026-03-20 09:09:19,海淀区分中心,市场管理>商品服务质量>购买服务与承诺不符,京粮商城物美超市壹号土猪摊位
热线-260519-074000,要求整顿必胜客售卖过期食品行为问题,"1.购买渠道：线上
2.企业名称：线上：美团，海淀区学清路必胜客
3.是否向该企业投诉过：否
4.是否通过行政部门调解：否
5.是否要求赔偿：否
6.具体诉求内容：市民反映，自己5月19号晚上在美团上点了海淀区学清路必胜客的一份汤，是晚上9点收到的，自己喝了之后发现汤是酸的，要求有关部门整顿一下这家店售卖过期食品的行为，来电反映要求整顿必胜客售卖过期食品行为问题。
7.订单号：***
8.是否有购物凭证及照片等证据：是",2026-05-19 21:43:24,海淀区分中心,公共安全>食品安全>餐饮企业食品安全问题,学清路***
